zip_code,access_score,quality_score,insurance_score,healthcare_score
06390,0.0,36.37387387296452,91.8,32.90954954918581
10001,0.0,36.37387387296452,90.7,32.68954954918581
10002,0.0,36.37387387296452,81.0,30.749549549185808
10003,22.210994539877007,49.99999999875,92.0,47.2843978154508
10004,0.0,36.37387387296452,94.0,33.34954954918581
10005,0.0,36.37387387296452,93.2,33.18954954918581
10006,0.0,36.37387387296452,93.6,33.26954954918581
10007,0.0,36.37387387296452,90.8,32.70954954918581
10009,0.0,36.37387387296452,86.9,31.929549549185815
10010,0.0,36.37387387296452,92.1,32.96954954918581
10011,0.0,36.37387387296452,92.6,33.06954954918581
10012,0.0,36.37387387296452,92.0,32.94954954918581
10013,0.0,36.37387387296452,90.1,32.56954954918581
10014,0.0,36.37387387296452,93.9,33.32954954918581
10016,22.593915433447165,62.4999999984375,93.0,52.63756617275387
10017,0.0,36.37387387296452,93.4,33.22954954918581
10018,0.0,36.37387387296452,90.9,32.72954954918581
10019,17.595872325886,49.99999999875,91.5,45.338348929854405
10021,17.416323382171083,99.9999999975,93.9,65.74652935186845
10022,0.0,36.37387387296452,94.0,33.34954954918581
10023,0.0,36.37387387296452,93.4,33.22954954918581
10024,0.0,36.37387387296452,93.3,33.20954954918581
10025,0.0,36.37387387296452,89.5,32.44954954918581
10026,0.0,36.37387387296452,84.6,31.469549549185807
10027,0.0,36.37387387296452,85.0,31.549549549185812
10028,0.0,36.37387387296452,94.1,33.36954954918581
10029,18.851156527869446,24.999999999375,77.7,33.08046261089778
10030,0.0,36.37387387296452,82.5,31.049549549185812
10031,0.0,36.37387387296452,78.2,30.189549549185813
10032,0.0,36.37387387296452,75.9,29.729549549185812
10033,0.0,36.37387387296452,77.5,30.049549549185812
10034,0.0,36.37387387296452,76.4,29.829549549185813
10035,0.0,36.37387387296452,74.7,29.48954954918581
10036,0.0,36.37387387296452,90.8,32.70954954918581
10037,27.894862426078397,0.0,84.5,28.05794497043136
10038,0.0,36.37387387296452,88.3,32.20954954918581
10039,0.0,36.37387387296452,80.6,30.66954954918581
10040,0.0,36.37387387296452,76.6,29.869549549185813
10044,0.0,36.37387387296452,90.9,32.72954954918581
10065,20.620860097492184,99.9999999975,94.1,67.06834403799688
10069,0.0,36.37387387296452,93.0,33.149549549185814
10075,23.01511411370922,74.999999998125,94.0,58.00604564473369
10119,0.0,36.37387387296452,91.4,32.82954954918581
10128,0.0,36.37387387296452,93.1,33.16954954918581
10162,0.0,36.37387387296452,94.2,33.38954954918581
10280,0.0,36.37387387296452,94.0,33.34954954918581
10282,0.0,36.37387387296452,93.3,33.20954954918581
10301,0.0,36.37387387296452,85.4,31.62954954918581
10302,0.0,36.37387387296452,80.9,30.729549549185812
10303,0.0,36.37387387296452,80.7,30.689549549185813
10304,0.0,36.37387387296452,83.5,31.249549549185808
