zip_code,lat,lng,housing_value,housing_score
06390,41.27027,-71.98886,464567.0995565022,92.87348037558868
10001,40.75064,-73.99728,1723246.207,71.29533852570842
10002,40.71597,-73.98692,1013080.327,83.47005407072906
10003,40.73184,-73.98915,1385863.576,77.0792513803441
10004,40.69431,-74.01835,1188064.021,80.47022436972043
10005,40.70614,-74.00862,1115158.471,81.72007930910907
10006,40.70949,-74.01306,997199.0148,83.74231505082102
10007,40.71387,-74.00792,3021684.539,49.035585149706904
10009,40.72639,-73.97865,1042102.269,82.97251694825553
10010,40.73899,-73.98243,1284446.083,78.8179002838427
10011,40.74173,-74.00037,1616599.333,73.1236372250428
10012,40.7256,-73.99794,2696508.531,54.61023399015156
10013,40.72001,-74.00472,3478689.925,41.20092182134149
10014,40.73407,-74.00601,1882428.026,68.56640797463214
10016,40.74515,-73.97807,938346.244,84.75125643156758
10017,40.75235,-73.9726,752780.2832,87.9325030264877
10018,40.75536,-73.99265,1384350.026,77.10519889659645
10019,40.76586,-73.9853,1175496.417,80.68567685496579
10020,40.75917,-73.98071,464567.0995565022,92.87348037558868
10021,40.76963,-73.95899,1409783.663,76.66917781409906
10022,40.75856,-73.96787,1117071.332,81.68728621216084
10023,40.77464,-73.97836,1406501.141,76.72545166890643
10024,40.78534,-73.97138,1583470.111,73.69158742574498
10025,40.79825,-73.96831,1104072.557,81.91013046941904
10026,40.80302,-73.95348,862848.0154,86.04555890827618
10027,40.81187,-73.95459,857054.8269,86.14487432749371
10028,40.77643,-73.95339,1403213.971,76.7818052066153
10029,40.79265,-73.94788,768584.8224,87.66155820289222
10030,40.81826,-73.94283,713238.4771,88.6103872433468
10031,40.82485,-73.95023,595209.9368,90.63380732704121
10032,40.839,-73.94282,616549.6446,90.26797044358116
10033,40.84744,-73.93549,622691.3629,90.16268001022475
10034,40.86749,-73.92358,470087.7138,92.77883782806393
10035,40.79538,-73.92965,742330.7123,88.11164505070748
10036,40.75976,-73.99064,993099.6219,83.81259291669761
10037,40.81302,-73.93776,588487.9876,90.74904493803159
10038,40.70914,-74.00298,464567.0995565022,92.87348037558868
10039,40.82631,-73.93752,641838.277,89.83443524474481
10040,40.85807,-73.9296,522215.8564,91.88517998569438
10044,40.76209,-73.94981,944875.7657,84.63931769784168
10065,40.76472,-73.96332,1600334.123,73.40247954992333
10069,40.77752,-73.98875,1920553.721,67.91280083205693
10075,40.77342,-73.95642,1176896.314,80.66167774680345
10103,40.76078,-73.97767,464567.0995565022,92.87348037558868
10110,40.7545,-73.98226,464567.0995565022,92.87348037558868
10111,40.75953,-73.97858,464567.0995565022,92.87348037558868
10112,40.75891,-73.97904,464567.0995565022,92.87348037558868
10115,40.81085,-73.96374,464567.0995565022,92.87348037558868
10119,40.75064,-73.99273,464567.0995565022,92.87348037558868
10128,40.78151,-73.95018,1180828.382,80.59426841223546
10152,40.75872,-73.9718,464567.0995565022,92.87348037558868
10153,40.76362,-73.97244,464567.0995565022,92.87348037558868
10154,40.75778,-73.97249,464567.0995565022,92.87348037558868
10162,40.76936,-73.94986,464567.0995565022,92.87348037558868
10165,40.75213,-73.97872,464567.0995565022,92.87348037558868
10167,40.75465,-73.97477,464567.0995565022,92.87348037558868
10168,40.75145,-73.9771,464567.0995565022,92.87348037558868
10169,40.75467,-73.97643,464567.0995565022,92.87348037558868
10170,40.75263,-73.97588,464567.0995565022,92.87348037558868
10171,40.7559,-73.97386,464567.0995565022,92.87348037558868
10172,40.75527,-73.97431,464567.0995565022,92.87348037558868
10173,40.75379,-73.97961,464567.0995565022,92.87348037558868
10174,40.75144,-73.975,464567.0995565022,92.87348037558868
10177,40.75498,-73.97589,464567.0995565022,92.87348037558868
10199,40.75138,-73.99715,464567.0995565022,92.87348037558868
10271,40.70844,-74.01033,464567.0995565022,92.87348037558868
10278,40.71513,-74.00373,464567.0995565022,92.87348037558868
10279,40.71263,-74.00867,464567.0995565022,92.87348037558868
10280,40.70985,-74.01651,801075.2706,87.10455880894045
10282,40.71655,-74.01495,2137716.007,64.18988322419267
10301,40.62803,-74.09564,701023.8587,88.81978832652892
10302,40.63055,-74.13776,617652.7702,90.24905903039073
10303,40.63223,-74.16903,543551.6513,91.51941018296264
10304,40.60671,-74.0931,684412.8446,89.10455893756114
10305,40.59592,-74.07539,706186.1307,88.7312890125855
10306,40.57149,-74.1243,733271.3481,88.2669540922426
10307,40.50817,-74.24254,817370.9826,86.82519357359067
10308,40.55213,-74.15029,712517.3562,88.62274976607328
10309,40.53001,-74.21912,780236.4757,87.46180830142315
10310,40.63243,-74.11653,681307.9922,89.15778691688799
10311,40.60523,-74.17956,464567.0995565022,92.87348037558868
10312,40.54489,-74.18084,738665.4372,88.17448062616029
10314,40.60086,-74.16306,693147.1641,88.9548222937902
10451,40.82097,-73.92383,337325.7156,95.05484067302396
10452,40.8378,-73.92333,327309.2451,95.2265578485979
10453,40.85248,-73.9133,596201.1029,90.61681528945505
10454,40.8056,-73.91664,823741.3624,86.71598308606522
10455,40.8148,-73.90862,491259.7628,92.41587520012095
10456,40.83064,-73.90812,449757.5331,93.12736790247608
10457,40.84571,-73.89794,506294.8821,92.15812091225943
10458,40.86249,-73.88643,421473.7028,93.61225122075959
10459,40.82572,-73.89295,522556.1766,91.87934571268028
10460,40.84273,-73.87891,533623.2317,91.6896178595714
10461,40.84671,-73.84079,702658.9555,88.79175707497319
10462,40.84297,-73.85873,226101.5471,96.96161013541906
10463,40.88841,-73.89905,360586.1809,94.65607531911492
10464,40.86821,-73.80044,674015.7146,89.28280194218789
10465,40.8286,-73.82179,672652.6687,89.3061692942033
10466,40.89104,-73.8461,648340.7622,89.72296001075341
10467,40.87522,-73.872,430957.5481,93.44966509538776
10468,40.8681,-73.89985,264543.0192,96.30258947400775
10469,40.86851,-73.84666,671811.1384,89.32059605323744
10470,40.89598,-73.86805,644196.8133,89.79400172158667
10471,40.90002,-73.9067,427613.1732,93.50699932423498
10472,40.82968,-73.86942,690273.8217,89.00408138574129
10473,40.81817,-73.85889,554241.2047,91.33615402322106
10474,40.81061,-73.8846,464567.0995565022,92.87348037558868
10475,40.87528,-73.82702,464567.0995565022,92.87348037558868
10501,41.2954,-73.76006,760544.4436,87.79939828718945
10502,41.01126,-73.8409,987786.8936,83.90367157541955
10503,41.02654,-73.8753,464567.0995565022,92.87348037558868
10504,41.13065,-73.70629,1631078.962,72.87540597479963
10505,41.34207,-73.74791,997551.3776,83.73627432571797
10506,41.1889,-73.63411,1575290.761,73.83180996022264
10507,41.22879,-73.6878,789957.3472,87.29515872180352
10509,41.41205,-73.5937,513854.2108,92.02852770139746
10510,41.14152,-73.83411,1081344.719,82.29976473712466
