zip_code,tax_rate,tax_score
10001,5.72,71.8918918918919
10002,5.853,71.23832923832924
10003,10.171052631578947,50.01939738781845
10004,7.075,65.23341523341523
10005,5.7,71.99017199017199
10006,6.0,70.51597051597051
10007,7.55,62.8992628992629
10008,0.0,76.11691428323498
10009,6.448148148148148,68.31376831376832
10010,8.464,58.40786240786241
10011,8.346808510638297,58.98374196246537
10012,10.053333333333333,50.5978705978706
10013,8.803846153846154,56.73785673785674
10014,9.38076923076923,53.902853902853906
10015,0.0,76.11691428323498
10016,6.374074074074074,68.67776867776868
10017,5.623076923076923,72.36817236817237
10018,7.04,65.40540540540542
10019,7.286046511627907,64.1963316381921
10020,0.0,76.11691428323498
10021,7.3341463414634145,63.95996883801762
10022,5.9714285714285715,70.65637065637065
10023,7.680701754385965,62.2569938359412
10024,7.525454545454545,63.01987938351575
10025,6.08452380952381,70.1006201006201
10026,3.483783783783784,82.88066936715586
10027,2.66,86.92874692874693
10028,8.01578947368421,60.61037113668693
10029,2.152439024390244,89.4229040570504
10030,1.3866666666666667,93.18591318591318
10031,1.8534246575342466,90.89226212513884
10032,1.9075757575757575,90.62616335343608
10033,2.7620689655172415,86.42717953062781
10034,2.948717948717949,85.50998550998551
10035,1.7696969696969698,91.30370039460948
10036,7.596774193548387,62.66941428231751
10037,1.7230769230769232,91.53279153279153
10038,6.4772727272727275,68.17064998883181
10039,1.12,94.4963144963145
10040,3.0375,85.07371007371007
10041,0.0,76.11691428323498
10042,0.0,76.11691428323498
10043,0.0,76.11691428323498
10044,4.745454545454545,76.68081304444941
10045,0.0,76.11691428323498
10046,0.0,76.11691428323498
10047,0.0,76.11691428323498
10048,0.0,76.11691428323498
10049,0.0,76.11691428323498
10050,0.0,76.11691428323498
10051,0.0,76.11691428323498
10052,0.0,76.11691428323498
10053,0.0,76.11691428323498
10054,0.0,76.11691428323498
10055,0.0,76.11691428323498
10056,0.0,76.11691428323498
10057,0.0,76.11691428323498
10058,0.0,76.11691428323498
10059,0.0,76.11691428323498
10060,0.0,76.11691428323498
10061,0.0,76.11691428323498
10062,0.0,76.11691428323498
10063,0.0,76.11691428323498
10064,0.0,76.11691428323498
10065,6.940740740740741,65.8931658931659
10066,0.0,76.11691428323498
10067,0.0,76.11691428323498
10068,0.0,76.11691428323498
10069,7.816666666666666,61.58886158886159
10070,0.0,76.11691428323498
10071,0.0,76.11691428323498
10072,0.0,76.11691428323498
10073,0.0,76.11691428323498
10074,0.0,76.11691428323498
10075,6.7875,66.64619164619165
10076,0.0,76.11691428323498
10077,0.0,76.11691428323498
10078,0.0,76.11691428323498
10079,0.0,76.11691428323498
10080,0.0,76.11691428323498
10081,0.0,76.11691428323498
10082,0.0,76.11691428323498
10083,0.0,76.11691428323498
10084,0.0,76.11691428323498
10085,0.0,76.11691428323498
10086,0.0,76.11691428323498
10087,0.0,76.11691428323498
10088,0.0,76.11691428323498
10089,0.0,76.11691428323498
10090,0.0,76.11691428323498
10091,0.0,76.11691428323498
10092,0.0,76.11691428323498
10093,0.0,76.11691428323498
10094,0.0,76.11691428323498
10095,0.0,76.11691428323498
10096,0.0,76.11691428323498
10097,0.0,76.11691428323498
10098,0.0,76.11691428323498
10099,0.0,76.11691428323498
10100,0.0,76.11691428323498
10101,0.0,76.11691428323498
10102,0.0,76.11691428323498
10103,0.0,76.11691428323498
10104,0.0,76.11691428323498
10105,0.0,76.11691428323498
10106,0.0,76.11691428323498
10107,0.0,76.11691428323498
10108,0.0,76.11691428323498
10109,0.0,76.11691428323498
10110,0.0,76.11691428323498
10111,0.0,76.11691428323498
10112,0.0,76.11691428323498
10113,0.0,76.11691428323498
10114,0.0,76.11691428323498
10115,0.0,76.11691428323498
10116,0.0,76.11691428323498
10117,0.0,76.11691428323498
10118,0.0,76.11691428323498
10119,0.0,76.11691428323498
10120,0.0,76.11691428323498
10121,0.0,76.11691428323498
10122,0.0,76.11691428323498
10123,0.0,76.11691428323498
10124,0.0,76.11691428323498
10125,0.0,76.11691428323498
10126,0.0,76.11691428323498
10127,0.0,76.11691428323498
10128,7.033898305084746,65.43538916420273
10129,0.0,76.11691428323498
10130,0.0,76.11691428323498
10131,0.0,76.11691428323498
10132,0.0,76.11691428323498
10133,0.0,76.11691428323498
10134,0.0,76.11691428323498
10135,0.0,76.11691428323498
10136,0.0,76.11691428323498
10137,0.0,76.11691428323498
10138,0.0,76.11691428323498
10139,0.0,76.11691428323498
10140,0.0,76.11691428323498
10141,0.0,76.11691428323498
10142,0.0,76.11691428323498
10143,0.0,76.11691428323498
10144,0.0,76.11691428323498
10145,0.0,76.11691428323498
10146,0.0,76.11691428323498
10147,0.0,76.11691428323498
10148,0.0,76.11691428323498
10149,0.0,76.11691428323498
10150,0.0,76.11691428323498
10151,0.0,76.11691428323498
10152,0.0,76.11691428323498
10153,0.0,76.11691428323498
10154,0.0,76.11691428323498
10155,0.0,76.11691428323498
10156,0.0,76.11691428323498
10157,0.0,76.11691428323498
10158,0.0,76.11691428323498
10159,0.0,76.11691428323498
10160,0.0,76.11691428323498
10161,0.0,76.11691428323498
10162,0.0,76.11691428323498
10163,0.0,76.11691428323498
10164,0.0,76.11691428323498
10165,0.0,76.11691428323498
10166,0.0,76.11691428323498
10167,0.0,76.11691428323498
10168,0.0,76.11691428323498
10169,0.0,76.11691428323498
10170,0.0,76.11691428323498
10171,0.0,76.11691428323498
10172,0.0,76.11691428323498
10173,0.0,76.11691428323498
10174,0.0,76.11691428323498
10175,0.0,76.11691428323498
10176,0.0,76.11691428323498
