zip_code,lat,lng,housing_score,tax_score,healthcare_score,overall_score
10302,40.63055,-74.13776,90.24905903,93.41523342,30.72954955,76.1607252575
10303,40.63223,-74.16903,91.51941018,90.30958231,30.68954955,76.00948805499999
10304,40.60671,-74.0931,89.10455894,69.14004914,31.24954955,69.6496791425
10305,40.59592,-74.07539,88.73128901,63.43616344,24.52721659,66.3564895125
10306,40.57149,-74.1243,88.26695409,70.4310371,32.28954955,69.8136237075
10307,40.50817,-74.24254,86.82519357,78.32056656,32.60954955,71.1451258125
10308,40.55213,-74.15029,88.62274977,79.31203931,32.68954955,72.3117721
10309,40.53001,-74.21912,87.4618083,75.49854294,32.54954955,70.7429272725
10310,40.63243,-74.11653,89.15778692,82.8009828,26.25742977,71.8434966025
10311,40.60523,-74.17956,92.87348038,76.11691428,0.0,65.46596876000001
10312,40.54489,-74.18084,88.17448063,75.13034098,32.62954955,71.0272129475
10314,40.60086,-74.16306,88.95482229,72.95460286,32.28954955,70.7884492475
10451,40.82097,-73.92383,95.05484067,95.21308142,21.67812059,76.7502208375
10452,40.8378,-73.92333,95.22655785,96.05666272,28.96954955,78.86983199250001
10453,40.85248,-73.9133,90.61681529,96.84925567,28.96954955,76.76310895
10454,40.8056,-73.91664,86.71598309,96.80589681,28.24954955,74.621853135
10455,40.8148,-73.90862,92.4158752,97.12350932,28.48954955,77.6112023175
10456,40.83064,-73.90812,93.1273679,96.41394641,19.15043682,75.45477975749999
10457,40.84571,-73.89794,92.15812091,96.00903114,19.50377388,74.95726171
10458,40.86249,-73.88643,93.61225122,95.14449514,29.26954955,77.90963678250002
10459,40.82572,-73.89295,91.87934571,95.11608083,28.86954955,76.93608044999999
10460,40.84273,-73.87891,91.68961786,94.68779124,28.92954955,76.7491441275
10461,40.84671,-73.84079,88.79175707,86.004186,23.02466264,71.653090695
10462,40.84297,-73.85873,96.96161014,88.82063882,30.78954955,78.3833521625
10463,40.88841,-73.89905,94.65607532,81.55844156,30.98954955,75.4650354375
10464,40.86821,-73.80044,89.28280194,83.29238329,32.68954955,73.63688418
10465,40.8286,-73.82179,89.30616929,86.54042069,31.46954955,74.155577205
10466,40.89104,-73.8461,89.72296001,93.92144324,31.16954955,76.1342282025
10467,40.87522,-73.872,93.4496651,93.30828154,29.78069123,77.4970757425
10468,40.8681,-73.89985,96.30258947,95.6823013,29.10954955,79.34925744750001
10469,40.86851,-73.84666,89.32059605,89.96041496,31.30954955,74.9777891525
10470,40.89598,-73.86805,89.79400172,91.5993916,31.72954955,75.7292361475
10471,40.90002,-73.9067,93.50699932,72.55177255,32.52954955,73.02383018500001
10472,40.82968,-73.86942,89.00408139,96.49162905,29.04954955,75.887335345
10473,40.81817,-73.85889,91.33615402,94.38768912,30.02954955,76.7723866775
10474,40.81061,-73.8846,92.87348038,100.0,28.56954955,78.57912757749999
10475,40.87528,-73.82702,92.87348038,94.19391419,31.52954955,77.86760612500001
10501,41.2954,-73.76006,87.79939829,76.11691428,33.08954955,71.2013151025
10502,41.01126,-73.8409,83.90367158,57.65765766,33.24954955,64.6786375925
10503,41.02654,-73.8753,92.87348038,76.11691428,33.50954955,73.8433561475
10504,41.13065,-73.70629,72.87540597,52.75535276,33.48954955,57.9989285625
10505,41.34207,-73.74791,83.73627433,100.0,33.02954955,75.12552455250001
10506,41.1889,-73.63411,73.83180996,26.97788698,33.34954955,51.9977641125
10507,41.22879,-73.6878,87.29515872,80.03685504,31.94954955,71.64418050750001
10509,41.41205,-73.5937,92.0285277,80.96278096,32.32954955,74.3373464775
10510,41.14152,-73.83411,82.29976474,60.89271089,33.24954955,64.68544748
10511,41.26302,-73.94391,91.26199969,100.0,32.34954955,78.71838723249999
10512,41.4483,-73.71054,92.52307494,71.00737101,47.301461,75.83874547250001
10514,41.17331,-73.77071,77.12923224,62.8992629,33.46954955,62.6568192325
10516,41.45342,-73.90233,88.80391343,61.75266175,33.10954955,68.11750954
10517,41.29837,-73.86013,92.87348038,76.11691428,32.42954955,73.57335614750001
10518,41.26787,-73.60073,92.87348038,76.11691428,33.42954955,73.82335614750001
10519,41.34701,-73.66196,92.87348038,76.11691428,32.88954955,73.6883561475
10520,41.22183,-73.87348,87.46623126,67.82964783,32.90954955,68.917914975
10522,41.01221,-73.8646,84.7550232,70.18837019,33.00954955,68.176991535
10523,41.06005,-73.81859,89.21553414,89.27590692,31.66954955,74.8441311875
10524,41.37076,-73.92201,88.30144049,61.54791155,32.90954955,67.76508552
10526,41.29388,-73.66171,88.21283888,79.52497952,33.06954955,72.2550517075
10527,41.3195,-73.76502,85.88902967,76.11691428,33.12954955,70.2561307925
10528,40.97819,-73.72306,77.95516874,74.01719902,32.76954955,65.67427151250001
10530,41.02304,-73.80764,88.76587173,70.46424415,33.08954955,70.27138429
