address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
517 E 83rd St APT 5W,10028,2995,40.773724,-73.94734,,1,1,,55,87,75
1560 York Ave APT 2A,10028,3100,40.773186,-73.94857,,1,1,,55,87,75
517 E 81st St APT 4E,10028,3995,40.772488,-73.94836,,2,1,,52,72,75
433 E 82nd St #B2,10028,3500,40.773655,-73.9495,,1,1,,55,90,72
529 E 85th St #2G,10028,5000,40.77486,-73.94611,,2,1,,57,73,68
205 E 85th St #5A,10028,4850,40.77836,-73.95379,,1,1,,67,84,76
245 E 83rd St APT 2D,10028,3000,40.776306,-73.95345,,1,1,,65,85,76
401 E 80th St APT 31G,10028,6600,40.773075,-73.95172,,1,2,900,56,97,72
217 E 82nd St #Y,10028,6000,40.77605,-73.95484,,4,3,,63,77,72
200 E 87th St APT 17G,10028,3850,40.77928,-73.95323,,,1,,67,82,76
