address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
714 President St #1,11215,3200,40.67493,-73.97933,,1,1,700,85,108,97
414 8th St APT 2L,11215,3600,40.667316,-73.98091,,1,1,700,88,96,105
168 17th St FLOOR 2,11215,2995,40.665108,-73.994064,,2,1,,85,84,105
405 1st St #3,11215,3800,40.672703,-73.97908,,1,1,,80,93,105
566 7th St #2,11215,4500,40.66631,-73.97739,,2,1,900,81,59,105
235 9th St #1F,11215,4095,40.670704,-73.9889,,2,1,1000,91,77,92
422 4th Ave #3F,11215,4950,40.671436,-73.98819,,2,1,950,89,81,92
189 16th St APT 4R,11215,3000,40.665424,-73.990234,,2,1,,84,90,105
739 6th Ave #3C,11215,3695,40.658855,-73.99208,,2,1,,73,56,105
592 Prospect Ave FLOOR 2,11215,3000,40.656517,-73.97839,,1,1,,77,44,50
