address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
596 Naughton Ave FLOOR 2,10305,1500,40.579033,-74.08517,,1,1,600,37,3,0
193 Slater Blvd #L,10305,1900,40.58084,-74.0895,,1,2,800,44,17,4
69 Fayette Ave #3,10305,1950,40.599583,-74.08357,,1,1,650,51,30,54
263 Maryland Ave #1,10305,1800,40.611053,-74.07025,,1,1,,49,22,35
100 Slater Blvd FLOOR 2,10305,3600,40.581783,-74.09245,,3,2,1200,47,40,4
149 Lamport Blvd,10305,3200,40.59503,-74.07712,,3,2,1230,53,17,31
80 McClean Ave #1L,10305,2600,40.598488,-74.0643,,3,1,1050,49,21,31
46 Evelyn Pl APT 2F,10305,3200,40.60925,-74.064255,,3,2,1404,51,31,23
25 Marie St #1,10305,2600,40.601143,-74.08461,,2,1,800,52,21,46
72 Maryland Ave #2,10305,3300,40.613758,-74.06431,,3,1,1330,37,35,35
