address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
32-17 105th St #2F,11369,1900,40.75917,-73.863846,,1,1,500,31,67,105
2540 98th St #B,11369,1200,40.763523,-73.871574,,1,1,600,21,53,100
31-53 92nd St #1,11369,1950,40.758965,-73.87634,,,1,700,33,66,110
31-03 90th St FLOOR 3,11369,2975,40.75983,-73.878365,,2,1,900,31,65,110
2519 Curtis St FLOOR 2,11369,2800,40.765865,-73.86653,,3,1,1300,16,35,80
93-28 Ditmars Blvd FLOOR 2,11369,2500,40.77012,-73.8766,,2,1,925,15,35,15
2619 91st St #1,11369,2400,40.762653,-73.87815,,1,1,750,23,58,105
31-18 106th St FLOOR 2,11369,4200,40.760384,-73.86344,,3,2,990,28,55,100
109-15 Ditmars Blvd #2,11369,4300,40.762306,-73.86103,,4,2,1800,23,23,100
32-58 105th St #5,11369,2850,40.763447,-73.87233,,2,2,857,23,55,105
