address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
48-04 Astoria Blvd S #2,11371,1650,40.767284,-73.90309,,1,1,,36,39,46
33-35 76th St,11371,1875,40.753914,-73.89061,,,1,595,43,49,81
3308 84th St #3B,11371,1950,40.755558,-73.88347,,,1,,36,75,88
80-09 35th Ave #B4,11371,2600,40.751778,-73.88588,,1,1,745,49,52,85
21-39 74th St #3,11371,3550,40.769073,-73.895195,,2,1,900,36,23,19
30-47 82nd St #3,11371,3280,40.759804,-73.88596,,3,2,1000,23,20,69
8710 34th Ave APT 6M,11371,2350,40.75398,-73.87987,,1,1,700,40,49,92
2141 46th St #3E,11371,4200,40.771126,-73.90114,,1,1,586,37,39,35
41-05 20th Ave #1,11371,4300,40.775955,-73.9006,,2,2,1100,40,35,46
24-40 86th St #2,11371,3000,40.764015,-73.88328,,2,1,800,25,52,42
