address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
324 E 77th St APT 3B,10075,3720,40.77141,-73.95517,,1,1,360,61,89,89
1470 1st Ave #3P,10075,3750,40.770607,-73.95359,,1,1,,59,99,97
308 E 78th St APT 13,10075,3850,40.772285,-73.95494,,1,1,,59,94,102
305 E 78th St #3B,10075,3100,40.77263,-73.9549,,1,1,,59,94,102
1481 York Ave APT 3,10075,4995,40.77105,-73.95104,,2,2,1100,52,108,92
117 E 77th St APT 6C,10075,4500,40.773914,-73.96025,,1,1,,63,105,94
536 E 79th St APT 5A,10075,2895,40.770424,-73.94813,,1,1,,47,60,100
1482 York Ave APT 4C,10075,3350,40.77098,-73.95051,,1,1,,52,100,100
270 E 78th St APT 24,10075,3800,40.772667,-73.955826,,2,1,,61,98,94
438 E 77th St APT 3A,10075,3500,40.770138,-73.95203,,1,1,,55,106,100
