address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
577 Lafayette Ave APT 1,11216,3800,40.69007,-73.95127,,2,1,775,87,54,85
654 Saint Marks Ave APT 3E,11216,3651,40.674976,-73.951965,,2,1,875,85,76,85
1092 Bedford Ave #1A,11216,3000,40.68745,-73.955,,1,1,1500,88,80,85
125 Quincy St APT 2,11216,3450,40.686558,-73.95613,,2,1,800,89,87,88
86 Madison St,11216,4650,40.68391,-73.95559,,1,1,800,92,71,85
1175 Bedford Ave #6,11216,4500,40.683273,-73.953606,,4,1,,93,71,81
339 Herkimer St #1B,11216,3499,40.67946,-73.94206,,1,2,1200,89,73,81
11 Herkimer St #F5,11216,3500,40.67982,-73.95286,,1,1,,93,83,88
325 Putnam Ave #1M,11216,2995,40.68442,-73.948685,,1,2,,88,56,81
828 Saint Johns Pl #5F,11216,2800,40.671402,-73.95086,,1,1,,88,82,81
