address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
280 Ocean Pkwy APT 1F,11218,3100,40.6424,-73.97457,,1,1,900,65,50,77
571 Ocean Pkwy #8A,11218,3033,40.63446,-73.97178,,1,1,625,60,48,77
95 Chester Ave #1,11218,4000,40.643192,-73.9832,,3,1,1100,64,47,77
265 Ocean Pkwy #3D,11218,3125,40.643036,-73.97344,,1,1,,65,49,77
10 Slocum Pl APT 4A,11218,4450,40.641636,-73.969025,,2,2,1165,60,61,81
1224 Prospect Ave #3D,11218,4500,40.653202,-73.97651,,2,2,900,80,30,38
138 Seeley St APT 1A,11218,4750,40.654037,-73.9773,,1,2,1600,71,32,46
1214 Cortelyou Rd #3C,11218,3750,40.640034,-73.96654,,3,2,,71,81,85
1221 Church Ave #10,11218,3495,40.647816,-73.96779,,2,1,,69,53,85
31 Ocean Pkwy #54,11218,2890,40.649788,-73.97412,,1,1,,64,34,77
