address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
348 Beach 86th St FLOOR 3,11695,1750,40.590282,-73.8113,,1,1,1000,28,30,12
22 E 9th Rd,11695,3777,40.606403,-73.81853,,3,1,1266,43,7,8
102-20 Rockaway Beach Blvd #1A,11695,3600,40.58379,-73.824036,,2,1,1013,25,22,12
227 Beach 99th St,11695,3500,40.58468,-73.82064,,3,1,2208,32,39,19
317 Beach 87th St FLOOR 2,11695,3300,40.589146,-73.812584,,3,2,900,32,38,15
216 Beach 100th St FLOOR 2,11695,2850,40.584354,-73.82113,,2,2,1200,32,36,19
166 Beach 98th St #3,11695,3300,40.58401,-73.81891,,3,2,1200,29,50,19
79-14 Rockaway Beach Blvd #3L,11695,2400,40.588184,-73.80533,,1,1,658,29,17,19
344 Beach 87th St #02,11695,2755,40.58994,-73.812164,,2,1,965,31,30,12
101-19 Rockaway Beach Blvd #2N,11695,2625,40.583088,-73.822105,,1,1,,27,33,12
