address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
10919 217th St APT 1,11429,1600,40.709118,-73.74073,,1,1,,0,21,65
107-09 220th St,11429,3950,40.709343,-73.73574,,3,2,1700,0,24,50
9720 222nd St FLOOR 2,11429,3300,40.7173,-73.73146,,3,1,1200,8,36,75
100-08 Francis Lewis Blvd #2,11429,3000,40.711746,-73.75339,,2,1,1100,0,34,95
22009 Hempstead Ave FLOOR 2,11429,3200,40.712776,-73.73388,,4,2,1060,0,55,70
11021 212th St,11429,4300,40.70707,-73.74467,,3,1,1096,0,20,55
107-13 220th St,11429,5300,40.71062,-73.73523,,4,2,1350,0,38,45
10212 216th St,11429,3500,40.712616,-73.742546,,3,1,1200,4,22,100
97-20 221st St #2,11429,3000,40.717022,-73.73253,,3,1,,20,39,75
105-03 221st St FLOOR 2,11429,3100,40.71044,-73.73374,,2,1,,0,37,45
