address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
2857 Valentine Ave #B43,10458,1825,40.869755,-73.88974,,1,1,680,35,60,85
2965 Decatur Ave APT 3D,10458,1750,40.868793,-73.88344,,1,1,,27,52,85
2358 Lorillard Pl APT 1,10458,1800,40.85538,-73.88977,,1,1,,24,72,85
225 E 202nd St APT 1D,10458,1795,40.873276,-73.885826,,1,1,,36,53,85
3001-3003 Webster Ave #2,10458,3995,40.868496,-73.8822,,4,2,1200,23,42,81
2384 Valentine Ave #1,10458,3800,40.858986,-73.89693,,3,1,900,40,62,88
2592 Briggs Ave APT 1,10458,3494,40.864,-73.89312,,3,1,800,32,65,88
2476 Arthur Ave #B1,10458,3600,40.857162,-73.88588,,3,1,,23,84,85
2707 Decatur Ave FLOOR 3,10458,4473,40.865223,-73.88884,,5,2,,29,44,88
218 E 201st St #2,10458,3600,40.87229,-73.88649,,3,1,,36,55,85
