address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
3215 Arlington Ave APT 2C,10463,2949,40.88456,-73.91273,,2,1,1050,0,37,46
3671 Hudson Manor Ter APT 1M,10463,2775,40.88795,-73.91582,,1,1,732,0,17,31
3210 Arlington Ave APT 3E,10463,2299,40.88429,-73.91212,,2,1,900,0,38,54
3015 Riverdale Ave APT 3K,10463,2800,40.880825,-73.910736,,1,1,,12,41,92
3240 Henry Hudson Pkwy E #5M,10463,4500,40.885345,-73.91297,,3,2,,0,39,35
3971 Gouverneur Ave APT 6E,10463,4350,40.883514,-73.892204,,4,2,,8,21,35
55 Dash Pl #106,10463,3250,40.889515,-73.90387,,1,1,,11,51,58
3333 Giles Pl APT 403,10463,3300,40.879585,-73.898506,,2,1,,12,22,85
3660 Waldo Ave APT 6G,10463,3800,40.8867,-73.90391,,3,2,,17,66,65
500 Kappock St APT 3E,10463,2600,40.877193,-73.918526,,1,1,,0,18,42
