address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
766 Saint Nicholas Ave #3R,10031,2333,40.826096,-73.94279,,1,1,676,59,66,115
616 W 143rd St UNIT 3D,10031,2700,40.8256,-73.95247,,2,1,647,51,96,115
3657 Broadway #2BB,10031,2733,40.830074,-73.94811,,1,1,,49,78,110
48 Saint Nicholas Pl APT 46,10031,3300,40.82864,-73.94099,,3,1,,53,63,115
3405 Broadway APT 1B,10031,4200,40.822334,-73.953766,,4,1,950,49,105,110
603 W 148th St APT 7C,10031,4500,40.82907,-73.9494,,2,2,1146,51,78,110
600 Riverside Dr UNIT A33,10031,4995,40.822292,-73.95568,,3,2,,47,78,110
824 Saint Nicholas Ave APT 53,10031,2700,40.828167,-73.94225,,2,1,,55,57,110
523 W 135th St #A2A,10031,2875,40.819843,-73.953735,,2,1,,49,105,110
542 W 147th St #2LR,10031,3000,40.82723,-73.94891,,2,1,,52,91,110
