address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
16914 Grand Central Pkwy #1A,11432,1700,40.717525,-73.79594,,1,1,400,23,24,35
172-90 Highland Ave #5P,11432,1995,40.713375,-73.78795,,,1,600,27,63,105
166-25 89th Ave #D1,11432,1600,40.70849,-73.79468,,,1,550,36,92,115
18750 Wexford Ter,11432,1600,40.715572,-73.775764,,,1,300,23,53,85
88-15 179th St #402,11432,2155,40.712006,-73.7841,,1,1,720,32,77,110
88-06 Parsons Blvd #206,11432,3047,40.70647,-73.80223,,2,1,1010,40,98,110
178-02 Hillside Ave #607,11432,3228,40.71203,-73.78476,,2,2,1022,31,75,110
80 169th St #1A,11432,2500,40.72288,-73.79901,,2,1,1000,11,47,25
18618 Cambridge Rd,11432,5499,40.718422,-73.77743,,4,2,2000,15,20,40
88-25 153rd St #102,11432,2641,40.70547,-73.80353,,2,1,860,47,82,110
