address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
16619 25th Ave FLOOR 2,11357,3200,40.774513,-73.797455,,3,2,1200,0,35,15
15-63 Murray St #1,11357,3500,40.78552,-73.81202,,3,2,1800,0,50,35
148-12 12th Ave #3,11357,2700,40.78996,-73.817406,,2,1,950,7,49,30
9-01 150th St #2F,11357,3600,40.79301,-73.81525,,3,2,1300,0,29,40
11-26 143rd Pl,11357,4650,40.78817,-73.82621,,3,3,3006,19,7,15
12-39 149th St #1,11357,4750,40.78916,-73.81617,,3,2,,8,60,35
1362 Parsons Blvd #2,11357,2950,40.78733,-73.82255,,3,1,1100,20,22,10
149-56 20th Rd #2,11357,2950,40.780495,-73.81493,,3,2,1200,0,8,5
149-56 20th Rd,11357,2800,40.78041,-73.81493,,3,2,1200,0,8,5
14900 19th Ave FLOOR 2,11357,2950,40.780956,-73.8009,,3,2,1100,8,32,0
