address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
17 Pike St APT 2B,10002,2700,40.713463,-73.99215,,1,1,,100,78,81
121 Rivington St #25,10002,3500,40.719555,-73.98736,,1,1,,100,81,78
18 Eldridge St #5,10002,3980,40.714836,-73.99341,,2,1,,97,87,81
106 Rivington St #2F,10002,3650,40.720135,-73.98793,,1,1,,100,88,78
504 Grand St APT C12,10002,4800,40.715057,-73.98183,,2,1,950,95,52,88
264 Broome St APT 5,10002,4900,40.718338,-73.99044,,1,1,650,100,87,78
92 Canal St #10A,10002,4400,40.715317,-73.99368,,2,2,806,99,89,81
249 E Houston St #P/F,10002,4995,40.72166,-73.985405,,1,1,,100,90,86
91 Attorney St #4B,10002,4695,40.718346,-73.98477,,1,1,,100,91,92
123 Rivington St #1,10002,4200,40.719673,-73.9873,,2,1,,100,84,78
