address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
172-90 Highland Ave #5P,11405,1995,40.713375,-73.78795,,,1,600,27,54,81
16420 Highland Ave APT 3F,11405,1775,40.710403,-73.79886,,,1,,33,56,85
88-50 179th St #3,11405,1825,40.711075,-73.78395,,,1,,32,51,85
176-01 93rd Ave #1,11405,2750,40.706795,-73.78419,,2,1,1100,25,48,81
144-06 88th Ave #202,11405,2031,40.70414,-73.81149,,1,1,650,43,70,85
88-18 150th St #120,11405,2031,40.705135,-73.80605,,1,1,575,41,50,85
88-09 148th St #611,11405,2781,40.704845,-73.80776,,2,1,980,43,75,85
88-15 179th St #402,11405,2155,40.712006,-73.7841,,1,1,720,35,66,85
94-08 Liverpool St #1,11405,2750,40.69811,-73.808495,,4,1,1000,56,65,81
88-06 Parsons Blvd #206,11405,3047,40.70647,-73.80223,,2,1,1010,41,84,85
