address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
63-46 60th Pl #2,11381,2650,40.71001,-73.90259,,2,1,900,68,47,88
1929 Woodbine St APT 2R,11381,2900,40.70521,-73.90421,,1,1,700,77,68,88
7141 68th St #2,11381,2999,40.702454,-73.884796,,3,1,1100,49,34,58
69-16 Forest Ave #1,11381,3500,40.70125,-73.900635,,1,1,1150,73,81,85
1672 Cornelia St #3,11381,4200,40.699364,-73.9063,,3,2,,76,84,85
1872 Madison St APT 2L,11381,4400,40.703465,-73.90447,,4,2,,76,59,85
1863 Gates Ave #1R,11381,2500,40.704582,-73.90723,,1,1,675,79,80,81
60-80 Myrtle Ave UNIT 3O,11381,3000,40.700607,-73.89545,,2,1,,67,78,85
1868 Madison St FLOOR 1,11381,3800,40.703342,-73.904594,,4,2,,75,59,85
7153 69th Pl FLOOR 2,11381,3200,40.702736,-73.882095,,2,1,,44,34,58
