address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
515 Avenue I APT 4C,11230,1950,40.626686,-73.971954,,1,1,1000,60,27,100
1412 Avenue K #3V,11230,1975,40.62279,-73.9609,,1,1,,63,51,100
1890 Ocean Ave APT A4,11230,1750,40.61566,-73.9549,,1,1,,55,44,100
868 E 7th St APT 4A,11230,1950,40.63,-73.9703,,,1,475,57,47,100
1362 E 18th St APT 1R,11230,3100,40.617188,-73.95726,,2,1,830,59,65,100
1946 Ocean Ave #7D,11230,4000,40.614437,-73.954666,,3,2,1300,52,20,100
1580 E 13th St #5W,11230,2350,40.610943,-73.96088,,1,1,775,53,94,105
984 E 15th St APT 4F,11230,2250,40.625614,-73.961754,,2,1,950,67,87,100
245 Newkirk Ave #3A,11230,3800,40.6322,-73.9709,,3,2,1200,60,56,100
1530 E 8th St APT 6J,11230,2450,40.611618,-73.965706,,1,1,700,51,55,105
