address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
494 Jamaica Ave #2,11208,1900,40.68375,-73.88509,,1,1,515,68,22,81
531 Cleveland St,11208,1900,40.67161,-73.88342,,1,1,1834,75,26,77
447 Elton St APT 3,11208,1850,40.67201,-73.8827,,1,1,855,76,26,81
51 Berriman St #4,11208,1999,40.67766,-73.88053,,1,1,,76,40,81
225 Hale Ave APT 1,11208,2500,40.67968,-73.87955,,2,1,750,75,53,85
1144 Blake Ave APT 1R,11208,3811,40.670464,-73.87546,,3,1,900,63,28,81
993 Dumont Ave APT 1,11208,3595,40.668373,-73.88182,,3,1,2500,63,29,77
1380 Dumont Ave FLOOR 1,11208,2700,40.670063,-73.866936,,2,1,700,59,22,81
987 Hegeman Ave FLOOR 2,11208,2500,40.66672,-73.876465,,2,1,1200,61,19,81
1314 Blake Ave FLOOR 1,11208,2000,40.671474,-73.86822,,1,1,800,64,34,81
