address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
87-31 143rd St FLOOR 2,11431,1700,40.706055,-73.81278,,,1,615,41,49,85
172-90 Highland Ave #5P,11431,1995,40.713375,-73.78795,,,1,600,27,54,81
84-35 Lander St #3K,11431,1800,40.712746,-73.8153,,,1,,37,20,73
176-01 93rd Ave #1,11431,2750,40.706795,-73.78419,,2,1,1100,28,48,81
144-06 88th Ave #202,11431,2031,40.70414,-73.81149,,1,1,650,43,70,85
88-18 150th St #120,11431,2031,40.705135,-73.80605,,1,1,575,39,50,85
88-09 148th St #611,11431,2781,40.704845,-73.80776,,2,1,980,45,75,85
88-15 179th St #402,11431,2155,40.712006,-73.7841,,1,1,720,31,66,85
94-08 Liverpool St #1,11431,2750,40.69811,-73.808495,,4,1,1000,56,65,81
171-19 104th Ave #1,11431,3100,40.70275,-73.78613,,2,1,,23,21,81
