address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
8343 246th St #1B,11426,1700,40.735226,-73.7213,,1,1,,3,23,25
8159 246th St #1B,11426,1800,40.73919,-73.72274,,2,1,,1,25,40
245-30 Grand Central Pkwy UNIT 3H1,11426,2960,40.75061,-73.72675,,2,1,1068,0,1,0
8730 Commonwealth Blvd #1,11426,3000,40.72925,-73.71961,,3,2,1000,3,35,30
80-36 242nd St FLOOR 1,11426,2595,40.739647,-73.72685,,2,1,850,1,8,10
241-43 85th Ave #1,11426,2600,40.73332,-73.723495,,2,1,800,0,4,25
8323 248th St FLOOR 1,11426,4500,40.736164,-73.71968,,4,3,2000,1,25,35
24826 89th Ave,11426,4341,40.726997,-73.7176,,3,1,,12,54,5
88-42 240th St FLOOR 2,11426,2400,40.72877,-73.72752,,2,1,800,0,29,10
23805 Braddock Ave APT 1,11426,2300,40.726974,-73.72998,,1,1,2312,0,36,15
