address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
83-34 116th St #2B,11418,1975,40.705482,-73.83621,,1,1,750,48,43,85
118-04 91st Ave #BASEMENT,11418,1800,40.69556,-73.82946,,2,1,800,47,41,105
85-65 114th St #4C,11418,1950,40.700073,-73.83552,,1,1,,52,49,105
8914 102nd St #1L,11418,2650,40.69299,-73.84434,,3,1,1000,57,48,115
84-22 107th St FLOOR 2,11418,2100,40.699924,-73.84277,,1,1,700,51,20,90
10005 92nd Ave APT 209,11418,2800,40.690956,-73.84411,,3,1,1300,52,33,115
8914 102nd St #1,11418,2650,40.692608,-73.8444,,3,1,1000,56,52,115
11710 Jamaica Ave,11418,8500,40.69944,-73.83212,,,,,53,78,105
8606 126th St FLOOR 2,11418,3800,40.70276,-73.8254,,4,2,1800,52,44,110
8713 135th St FLOOR 3,11418,3200,40.704502,-73.819725,,2,1,1400,44,56,105
