address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
3401 Parsons Blvd APT A1,11351,1650,40.766636,-73.8239,,,1,300,16,65,100
15-63 Murray St #1,11351,3500,40.78552,-73.81202,,3,2,1800,0,50,35
134-16 35th Ave #12A,11351,2700,40.763958,-73.832596,,1,1,538,31,110,110
141-43 Northern Blvd UNIT 4,11351,2800,40.764717,-73.8242,,2,2,1200,25,82,100
144-27 35th Ave #5T,11351,2695,40.766068,-73.82285,,2,2,1100,16,73,100
11-26 143rd Pl,11351,4650,40.78817,-73.82621,,3,3,3006,19,7,15
12-39 149th St #1,11351,4750,40.78916,-73.81617,,3,2,,8,60,35
148-12 12th Ave #3,11351,2700,40.78996,-73.817406,,2,1,950,7,49,30
35-15 146th St #4C,11351,2300,40.7657,-73.820656,,1,1,450,13,83,100
14016 34th Ave APT 1202,11351,3250,40.766396,-73.826775,,2,2,1150,20,65,105
