address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
300 Cortelyou Ave #2,10312,1650,40.55217,-74.163376,,1,1,700,15,4,15
4787 Hylan Blvd #1,10312,1800,40.527752,-74.16597,,1,1,850,9,3,0
17 Ashton Dr FLOOR 1,10312,1900,40.551357,-74.19949,,1,1,,0,5,15
14 Dole St #1,10312,1700,40.52731,-74.17239,,1,1,,0,0,0
37 Belfield Ave #2,10312,3100,40.547127,-74.192474,,3,2,1200,0,5,15
184 Barclay Ave #1,10312,2000,40.53825,-74.17469,,1,1,625,5,15,0
306 Bartlett Ave FLOOR 1,10312,2800,40.55556,-74.16801,,2,2,1200,23,18,12
27 Geyser Dr FLOOR 2,10312,3200,40.54958,-74.199036,,3,2,1500,0,5,15
16 Cheryl Ave,10312,3200,40.5593,-74.17838,,3,2,1280,0,3,4
110 Lovelace Ave #2,10312,3100,40.552597,-74.17469,,3,2,1254,15,0,0
