address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
8716 87th St APT 2R,11421,1950,40.6921,-73.857025,,,1,550,67,77,85
9012 77th St FLOOR 1,11421,3200,40.68691,-73.86364,,3,1,1100,60,30,81
87-05 89th Ave #B5,11421,2070,40.68989,-73.85596,,1,1,481,59,49,85
84-21 86th Rd #1,11421,3500,40.693356,-73.86034,,3,2,1150,65,77,85
8420 86th Ave FLOOR 1,11421,3600,40.693817,-73.86048,,3,2,1200,64,69,85
85-04 76th St #2F,11421,2700,40.694874,-73.86689,,1,1,480,65,22,65
74-13 87th Ave #2,11421,3000,40.690655,-73.86739,,3,1,1200,69,47,81
9436 86th Ave #1,11421,3800,40.69572,-73.85067,,4,2,1000,60,51,73
8421 86th Rd #1,11421,3500,40.693092,-73.86051,,3,2,1150,65,78,85
9004 Jamaica Ave #1,11421,2000,40.69282,-73.85464,,1,1,650,64,65,88
