address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
37 Ludwig Ln,10303,1500,40.62256,-74.15866,,,1,500,0,19,35
11 Mersereau Ave FLOOR 1,10303,1985,40.63832,-74.16324,,,1,,0,6,35
131 Spartan Ave FLOOR 2,10303,2995,40.626286,-74.16631,,3,1,1200,0,47,35
3 Lockman Pl FLOOR 1,10303,3811,40.63413,-74.16122,,3,2,1200,0,7,38
36 De Hart Ave #1R,10303,2350,40.6358,-74.157295,,2,1,1000,1,8,38
407 Walker St FLOOR 2,10303,3200,40.632145,-74.15304,,3,1,1100,7,16,58
156 Morningstar Rd FLOOR 1,10303,3606,40.634197,-74.146286,,3,1,1800,4,25,54
94 Lake Ave,10303,3000,40.63449,-74.1511,,2,1,1040,3,11,46
84 De Hart Ave #1,10303,3575,40.63448,-74.15716,,3,1,1500,1,7,38
14 Bush Ave FLOOR 2,10303,3811,40.636444,-74.15945,,3,1,1000,0,9,38
