address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
63-46 60th Pl #2,11385,2650,40.71001,-73.90259,,2,1,900,63,47,88
1929 Woodbine St APT 2R,11385,2900,40.70521,-73.90421,,1,1,700,75,68,88
7141 68th St #2,11385,2999,40.702454,-73.884796,,3,1,1100,49,34,58
69-16 Forest Ave #1,11385,3500,40.70125,-73.900635,,1,1,1150,72,81,85
89-04 Aubrey Ave #1,11385,4500,40.710987,-73.86237,,3,3,1500,49,33,38
1672 Cornelia St #3,11385,4200,40.699364,-73.9063,,3,2,,75,84,85
1863 Gates Ave #1R,11385,2500,40.704582,-73.90723,,1,1,675,77,80,81
479 Fairview Ave #3A,11385,2650,40.708908,-73.90936,,1,2,760,68,40,85
60-80 Myrtle Ave UNIT 3O,11385,3000,40.700607,-73.89545,,2,1,,67,78,85
1868 Madison St FLOOR 1,11385,3800,40.703342,-73.904594,,4,2,,75,59,85
