address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
4300 Napier Ave FLOOR 3,10470,1600,40.89796,-73.87453,,1,1,,0,13,35
4295 Napier Ave FLOOR 1,10470,1700,40.897766,-73.87506,,,1,,0,13,35
408 E 240th St FLOOR 2,10470,2800,40.90109,-73.86501,,2,1,900,0,45,45
372 E 235th St FLOOR 3,10470,2000,40.89778,-73.86434,,2,1,700,0,34,90
4557 White Plains Rd,10470,3500,40.901512,-73.8521,,3,1,1200,0,60,100
4759 Matilda Ave FLOOR 2,10470,3200,40.905727,-73.85131,,3,2,1200,3,50,85
4766 Matilda Ave #2,10470,6512,40.90587,-73.85077,,8,2,,3,51,100
4815 Osgood St #1,10470,6512,40.906517,-73.85028,,8,2,,1,53,100
4626 Richardson Ave FLOOR 2,10470,3500,40.903,-73.85172,,4,1,1550,0,75,100
4452 Richardson Ave #2R,10470,3811,40.900032,-73.854126,,3,1,,0,58,100
