address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
33-35 76th St,11372,1875,40.753914,-73.89061,,,1,595,43,57,105
3308 84th St #3B,11372,1950,40.755558,-73.88347,,,1,,36,87,115
37-58 81st St #4A,11372,2150,40.747963,-73.88507,,1,1,620,57,99,105
80-09 35th Ave #B4,11372,2600,40.751778,-73.88588,,1,1,745,49,60,110
8710 34th Ave APT 6M,11372,2350,40.75398,-73.87987,,1,1,700,40,57,120
88-10 34th Ave APT 2M,11372,2200,40.75423,-73.87875,,1,1,750,41,71,120
37-46 72nd St #12A,11372,5000,40.747356,-73.89433,,3,2,,55,86,100
8710 37th Ave APT 203,11372,2900,40.750244,-73.87956,,1,1,,47,89,125
33-29 84th St #1,11372,2600,40.754856,-73.88319,,1,1,,37,89,115
35-47 80th St #B1,11372,2500,40.750248,-73.88612,,2,1,,47,102,110
