address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
141-15 82nd Dr #1,11435,1995,40.713688,-73.81775,,1,1,725,36,20,50
139-24 86th Rd #2A,11435,1950,40.707355,-73.81539,,1,1,1200,41,59,81
142-02 Pershing Cres #2U,11435,1995,40.711926,-73.81519,,1,1,675,37,24,85
8402 143rd St APT 502,11435,1895,40.7109,-73.81359,,1,1,879,39,19,81
144-06 88th Ave #202,11435,2031,40.70414,-73.81149,,1,1,650,44,70,85
88-18 150th St #120,11435,2031,40.705135,-73.80605,,1,1,575,39,50,85
88-09 148th St #611,11435,2781,40.704845,-73.80776,,2,1,980,41,75,85
94-08 Liverpool St #1,11435,2750,40.69811,-73.808495,,4,1,1000,56,65,81
138-22 82nd Ave #1,11435,10000,40.714752,-73.820045,,4,3,2100,32,19,46
14222 Pershing Cres FLOOR 3,11435,3000,40.71154,-73.81472,,3,2,1350,37,25,85
