address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
1083 Bay Ridge Pkwy UNIT 2,11228,3000,40.623238,-74.011765,,3,1,780,43,17,77
7202 13th Ave #2A,11228,3800,40.622097,-74.005974,,3,1,800,45,60,81
1135 74th St #2,11228,2200,40.623177,-74.0101,,1,1,600,41,38,77
8318 10th Ave FLOOR 2,11228,3800,40.61956,-74.01937,,4,2,1000,43,29,73
7110 13th Ave,11228,4300,40.62248,-74.00558,,,,,47,59,81
7416 13th Ave,11228,12000,40.620758,-74.00737,,,,,43,59,81
660 84th St #2,11228,3600,40.62035,-74.02164,,4,2,1200,44,46,77
652 90th St,11228,3600,40.61665,-74.02345,,3,2,1800,41,27,65
1473 79th St #2,11228,2400,40.61566,-74.00567,,2,1,700,47,24,81
1471 83rd St #1,11228,2300,40.613556,-74.007965,,2,1,600,37,34,77
