address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
72 N 8th St,11249,3975,40.72024,-73.960556,,1,1,600,73,90,75
159 Berry St APT 1,11249,4000,40.717636,-73.959915,,2,1,,79,83,78
370 Bedford Ave APT 10,11249,3199,40.711693,-73.9634,,1,1,,84,84,78
135 N 6th St APT 2R,11249,4000,40.717823,-73.95874,,1,1,,80,80,78
136 S 2nd St UNIT F2S,11249,4650,40.713272,-73.96237,,2,1,,75,79,78
95 N 7th St APT 3R,11249,4490,40.71949,-73.95981,,2,1,,76,81,78
326 Bedford Ave #C3S,11249,4278,40.71323,-73.96241,,2,1,,75,81,78
424 Bedford Ave APT 4B,11249,4400,40.709328,-73.964645,,1,1,,85,77,81
185 Metropolitan Ave #1L,11249,3150,40.71564,-73.960846,,2,1,,77,84,78
347 Kent Ave #5K,11249,4350,40.71275,-73.96766,,,1,450,84,84,75
