address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
153 Heyward St #1,11251,3850,40.702545,-73.95526,,1,1,550,88,37,100
62 Clermont Ave APT 504,11251,2700,40.69571,-73.9717,,2,1,650,89,64,105
1092 Bedford Ave #1A,11251,3000,40.68745,-73.955,,1,1,1500,85,93,110
558 Washington Ave APT 6,11251,2875,40.682167,-73.96496,,1,1,,89,96,105
9 Lexington Ave #9BB,11251,4780,40.68662,-73.96197,,2,1,833,88,58,115
10 Lexington Ave #3KK,11251,4389,40.68602,-73.96168,,2,1,,88,61,110
254 Wyckoff St APT 2,11251,3495,40.683468,-73.98479,,2,1,,91,63,107
109 Gold St APT 2A,11251,3900,40.70159,-73.98244,,1,1,,89,60,65
387 Franklin Ave APT 401,11251,3099,40.68598,-73.95632,,1,1,,84,97,115
112 Emerson Pl #2AA,11251,2600,40.69401,-73.962364,,1,1,,87,76,110
