address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
2355 Southern Blvd #123,10460,1999,40.85254,-73.88226,,1,1,725,20,61,81
1614 Van Buren St FLOOR 2,10460,3800,40.840588,-73.86911,,3,1,1200,17,45,81
2299 Southern Blvd APT 4,10460,2500,40.850594,-73.88279,,1,1,850,21,41,81
1612 Van Buren St #2,10460,3811,40.840546,-73.869064,,3,1,1000,17,45,81
1711 Taylor Ave,10460,2450,40.842213,-73.869225,,1,1,1200,16,48,81
612 Mead St FLOOR 2,10460,4700,40.842083,-73.8668,,5,1,2500,13,49,85
1468 Saint Lawrence Ave FLOOR 1,10460,4100,40.83703,-73.86792,,4,1,,17,56,85
905 E 178th St,10460,3975,40.84308,-73.883736,,3,1,1000,20,59,88
641 Mead St,10460,3600,40.842873,-73.86637,,3,1,1914,13,43,88
608 Mead St #2,10460,3811,40.84199,-73.86695,,3,1,2000,13,50,85
