address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
3046 Brighton 6 St #1A,11235,1500,40.578438,-73.96208,,1,1,,51,90,100
50 Brighton First Rd #5G,11235,1850,40.584682,-73.948555,,,1,750,44,85,85
150 W End Ave APT 6G,11235,1900,40.578156,-73.95349,,,1,,41,34,100
2665 Homecrest Ave APT 4E,11235,1900,40.58609,-73.956345,,,1,,51,64,105
2817 Batchelder St #1,11235,3500,40.584934,-73.93575,,2,1,900,33,21,35
2929 Brighton 5th St #2C,11235,2750,40.580406,-73.963486,,1,1,697,45,61,105
2458 E 12th St #2,11235,3999,40.59033,-73.95899,,2,3,1500,39,53,105
2833 Brighton 3 St #3H,11235,3600,40.582596,-73.9658,,2,2,1015,40,43,110
37 W End Ave #PENTHOUSE 1,11235,5400,40.580746,-73.953285,,3,2,1800,44,37,100
3440 Guider Ave #1B,11235,2617,40.582764,-73.957886,,1,1,570,39,57,100
