address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
34 Dellwood Rd #BASEMENT,10304,1600,40.59734,-74.0938,,1,1,600,48,23,23
296 Van Duzer St #1FL,10304,1400,40.630955,-74.07806,,1,1,,35,47,73
83 Wandel Ave #G,10304,2850,40.615795,-74.09048,,3,1,1100,28,14,54
25 Remsen St #1,10304,2850,40.594646,-74.09204,,3,1,1000,48,22,31
65 Gordon St #2,10304,3500,40.62527,-74.082184,,3,1,1056,35,28,65
335 Hillside Ave #2,10304,3484,40.615715,-74.086006,,3,1,750,32,22,62
520 Bay St FLOOR 3,10304,4850,40.62915,-74.076706,,3,2,2500,36,48,58
58 Waverly Pl FLOOR 1,10304,3000,40.617672,-74.08404,,4,2,1131,31,22,77
16 Cobblers Ln,10304,3800,40.602303,-74.08594,,4,3,1488,48,21,46
79 Buel Ave #2,10304,3600,40.58832,-74.098785,,4,3,1750,47,37,12
