address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
70 W 139th St APT 1G,10037,3400,40.816135,-73.93836,,1,1,681,48,71,115
45 W 132nd St APT 2D,10037,2900,40.81196,-73.94055,,1,1,809,45,83,117
34 W 139th St APT 4H,10037,3199,40.815495,-73.93685,,2,1,,51,63,115
56 E 130th St APT 3R,10037,2850,40.80843,-73.937805,,1,1,,55,59,107
2186 5th Ave APT 11P,10037,4215,40.812027,-73.938965,,2,2,1028,49,65,112
30 W 141st St APT 12N,10037,2995,40.817024,-73.93607,,2,1,,47,52,115
15 W 139th St APT 14C,10037,2550,40.815662,-73.936195,,1,1,,41,63,115
470 Lenox Ave APT 12G,10037,2200,40.813126,-73.941574,,,1,460,48,93,127
48 W 138th St APT 2O,10037,2050,40.81537,-73.938484,,,1,317,47,85,115
