address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
646 E 91st St #2,11236,1950,40.65101,-73.91702,,1,1,,52,35,81
1625 Rockaway Pkwy APT 6R,11236,1723,40.641613,-73.89785,,,1,,59,27,77
10544 Avenue M #1,11236,1600,40.641598,-73.88642,,,1,,33,8,12
1337 E 88th St FLOOR 2,11236,3500,40.632153,-73.89914,,3,2,1000,24,19,27
1277 E 82nd St FLOOR 2,11236,3200,40.630215,-73.90445,,2,1,1042,25,5,4
1033 Remsen Ave FLOOR 2,11236,3000,40.643803,-73.90929,,3,1,900,52,32,77
936 E 87th St #1,11236,3400,40.63798,-73.907616,,3,2,,37,34,50
942 E 85th St FLOOR 2,11236,3600,40.636925,-73.90899,,3,2,,24,36,42
1250 Remsen Ave #1-A,11236,2400,40.639194,-73.90529,,2,1,,47,41,62
933 E 100th St FLOOR 2,11236,2800,40.644688,-73.89742,,3,1,,60,30,77
