address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
580 Main St #1600,10044,3995,40.762817,-73.94907,,1,1,650,67,44,45
20 River Rd APT 8F,10044,3700,40.765503,-73.947365,,1,1,660,57,27,65
546 Main St APT 605,10044,2740,40.76183,-73.94968,,,1,,69,51,45
40 River Rd APT 15J,10044,4400,40.77284,-73.94016,,2,2,930,35,20,30
540 Main St APT 470,10044,4805,40.76149,-73.94983,,3,2,,69,50,45
1040 River Rd #11P,10044,5200,40.76424,-73.94773,,2,2,900,64,34,55
415 Main St APT 7C,10044,5950,40.75835,-73.95349,,2,2,1123,68,44,55
30 River Rd APT 11H,10044,6500,40.765972,-73.947,,3,2,1100,59,24,65
