address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
8615 Rockaway Blvd #1A,11416,1750,40.683044,-73.85399,,,1,,57,43,105
10124 91st St UNIT 2,11416,2600,40.681908,-73.84874,,2,1,500,60,61,110
95-11 90th St UNIT 2F,11416,2200,40.68557,-73.85137,,2,1,800,55,41,105
96-8 101st Ave #2,11416,3000,40.68445,-73.845345,,3,1,800,57,59,110
10308 97th Ave #2,11416,2500,40.687656,-73.84037,,2,1,750,51,59,110
108-01 101st Ave #2,11416,4728,40.687508,-73.835495,,5,1,1500,49,61,110
97-35 77th St #2,11416,2650,40.68083,-73.86074,,2,1,,65,69,105
9425 75th St FLOOR 2,11416,2800,40.68278,-73.86385,,3,1,,61,56,110
10146 95th St APT 2,11416,3000,40.682987,-73.8446,,3,1,,59,62,115
107-01 103rd Ave,11416,2800,40.685272,-73.835045,,2,1,,48,61,110
