address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
544 Brooklyn Ave #2D,11225,3750,40.661243,-73.94577,,3,2,1200,69,36,105
15 Chester Ct,11225,2550,40.658142,-73.960976,,1,1,661,75,92,105
266 Maple St FLOOR 1,11225,2900,40.66053,-73.95188,,2,1,925,71,89,105
522 Lefferts Ave APT 3H,11225,3570,40.662357,-73.94402,,3,2,1200,75,48,100
996 Carroll St APT 2F,11225,4750,40.667576,-73.95816,,3,2,,81,73,100
1029 President St #3R,11225,4900,40.66884,-73.95698,,2,2,,81,96,100
462 Maple St UNIT 3,11225,3850,40.661068,-73.9452,,3,2,950,71,31,105
1078 Nostrand Ave FLOOR 2,11225,3700,40.66173,-73.95104,,3,1,800,76,77,105
572 E New York Ave #4J,11225,2300,40.661747,-73.9439,,2,1,,73,46,105
1216 Nostrand Ave #2B,11225,3499,40.65752,-73.95059,,3,2,,67,98,110
