address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
37-53 62nd St #A1,11377,1990,40.747704,-73.90111,,1,1,,61,74,81
40-20 69th St #L2,11377,1775,40.745636,-73.896385,,,1,,52,86,77
73-02 Woodside Ave #3A,11377,3520,40.745537,-73.90606,,2,7,847,61,82,81
48-41 43rd St,11377,3300,40.7384,-73.92233,,2,1,920,55,57,81
58-12 Queens Blvd #7C,11377,2595,40.741177,-73.90702,,1,1,700,49,37,81
46-11 47th Ave FLOOR 2,11377,3950,40.741253,-73.918564,,3,2,1200,63,85,81
69-14 41st Ave UNIT 401,11377,4500,40.744488,-73.89533,,3,2,,48,73,77
60-18 32nd Ave #2F,11377,2300,40.755848,-73.901825,,1,1,665,48,23,54
59-06 38th Ave #A1,11377,2800,40.747894,-73.90373,,2,1,750,59,62,81
41-07 56th St #3,11377,3550,40.744804,-73.90851,,3,1,1100,53,71,81
