address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
1811 Clay Ave,10457,1899,40.84685,-73.9048,,1,1,889,48,51,88
505 E 178th St #3C,10457,1900,40.848103,-73.89619,,1,1,,29,63,85
212 E Tremont Ave #9,10457,3995,40.84882,-73.90534,,3,1,1500,51,66,88
2221 Belmont Ave FLOOR 1,10457,3777,40.851788,-73.88783,,3,1,2100,17,64,81
2136 Hughes Ave FLOOR 2,10457,3777,40.85021,-73.88941,,3,1,2100,19,59,81
1803 Weeks Ave #12-B,10457,2775,40.846836,-73.9074,,2,1,,52,57,88
4435 Park Ave APT 1,10457,4500,40.853504,-73.89652,,5,2,1200,31,53,85
1688 Webster Ave,10457,5500,40.842827,-73.903305,,,1,3500,33,48,85
2126 Prospect Ave #2,10457,3600,40.847973,-73.88547,,3,1,,16,33,81
590 E 178th St FLOOR 2,10457,3811,40.846985,-73.89343,,3,1,,24,62,81
