address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
194 King St #B,10308,1800,40.538532,-74.151855,,1,1,700,32,28,12
4163 Amboy Rd APT A1,10308,1900,40.548782,-74.15554,,1,1,786,0,19,38
309 Corbin Ave #LL,10308,1650,40.563164,-74.148834,,,1,,0,1,0
30 Arkansas Ave #2,10308,1100,40.559597,-74.15508,,,1,,0,5,0
50 Osborn Ave #1,10308,2900,40.54062,-74.14986,,3,1,900,27,35,12
63 Ainsworth Ave FLOOR 1,10308,3200,40.55287,-74.13869,,3,2,1500,32,4,8
11 Keegans Ln,10308,3900,40.55295,-74.14168,,3,3,12500,31,22,31
397 Brookfield Ave,10308,3000,40.56148,-74.15965,,3,2,1800,3,13,0
166 Lamoka Ave,10308,4300,40.550243,-74.156235,,3,3,2600,0,19,38
3974 Amboy Rd,10308,4200,40.550564,-74.15007,,,,,5,58,38
