address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
198 Moffat St #1,11207,3800,40.687977,-73.905624,,2,1,1500,81,44,100
140 Schaefer St #4,11207,3600,40.688168,-73.90895,,1,1,800,76,54,105
184 Cooper St FLOOR 2,11207,3600,40.68858,-73.906204,,3,2,1100,81,57,100
667 Glenmore Ave FLOOR 2,11207,3777,40.67493,-73.88573,,3,1,650,76,41,110
707 Hendrix St #3,11207,4111,40.66404,-73.88716,,4,1,1000,65,45,100
1156 Halsey St FLOOR 2,11207,5495,40.690258,-73.910416,,3,2,1512,81,55,105
136 Moffat St #B,11207,2400,40.686443,-73.907135,,1,1,1000,84,41,105
681 Evergreen Ave #4R,11207,2850,40.686916,-73.90906,,2,1,,80,46,105
24 Covert St APT 1L,11207,2995,40.68541,-73.91305,,3,1,,89,75,105
38 Cooper St #329,11207,2500,40.684345,-73.91036,,1,1,,91,76,105
