address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
141-15 82nd Dr #1,11437,1995,40.713688,-73.81775,,1,1,725,37,20,50
82-39 134th St UNIT 1L,11437,1950,40.71295,-73.823074,,1,1,,37,20,54
87-31 143rd St FLOOR 2,11437,1700,40.706055,-73.81278,,,1,615,41,49,85
84-35 Lander St #3K,11437,1800,40.712746,-73.8153,,,1,,37,20,73
144-06 88th Ave #202,11437,2031,40.70414,-73.81149,,1,1,650,44,70,85
45 Kew Gardens Rd APT 1M,11437,2350,40.712498,-73.82904,,1,1,850,47,61,54
88-18 150th St #120,11437,2031,40.705135,-73.80605,,1,1,575,39,50,85
88-09 148th St #611,11437,2781,40.704845,-73.80776,,2,1,980,41,75,85
12360 83rd Ave #7H,11437,2750,40.71169,-73.82626,,1,1,708,44,38,62
126-08 95th Ave #2,11437,3499,40.694042,-73.82083,,3,2,1100,40,25,81
