address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
1115 Willmohr St APT 1C,11212,1799,40.65735,-73.91775,,,1,,67,55,110
933 Saratoga Ave #3,11212,2900,40.657726,-73.91416,,2,1,750,71,72,105
9611 Church Ave #2F,11212,2600,40.6561,-73.91533,,2,1,1000,65,71,105
107 E 93rd St #2,11212,2895,40.662315,-73.926605,,2,1,800,75,69,110
892 Saratoga Ave APT 1F,11212,3150,40.658775,-73.91509,,2,1,750,73,65,110
225 E 96th St #2,11212,5000,40.661324,-73.92133,,3,1,,71,65,105
2135 Strauss St APT 1,11212,4111,40.661648,-73.914246,,4,1,,77,46,110
315 Legion St #1F,11212,2800,40.660946,-73.916016,,2,1,700,76,56,110
2111 Union St APT 2F,11212,3700,40.664734,-73.920876,,4,1,1200,79,63,105
316 E 94th St APT 2R,11212,2850,40.658478,-73.92167,,2,1,3280,69,60,110
