address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
93 E 208th St #2,10467,1995,40.878426,-73.88164,,1,1,650,31,50,110
3521 Dekalb Ave APT B27,10467,1750,40.882904,-73.88019,,1,1,600,21,80,105
3105 Decatur Ave APT 21B,10467,1825,40.871864,-73.87797,,1,1,,27,73,105
3472 Knox Pl APT 1A,10467,1550,40.88282,-73.882065,,,1,550,24,65,105
239 E Mosholu Pkwy N #4L,10467,2000,40.874046,-73.88143,,1,1,850,29,66,105
3603 Willett Ave FLOOR 3,10467,3900,40.8798,-73.8666,,3,1,700,5,63,100
736 E 222nd St #1,10467,3058,40.885014,-73.86046,,2,1,950,0,68,100
3221 Decatur Ave FLOOR 2,10467,3000,40.8745,-73.875404,,4,1,1200,28,50,105
644 E 219th St #1R,10467,4070,40.88402,-73.86493,,4,1,,0,52,100
2559 Cruger Ave #2,10467,5291,40.864983,-73.86664,,6,2,1650,1,82,105
