address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
2066 E 15th St APT 3C,11229,1995,40.599483,-73.95665,,1,1,680,57,84,100
1859 E 29th St #1,11229,1650,40.60592,-73.94364,,,1,500,43,29,50
3323 Nostrand Ave APT 3F,11229,1700,40.603218,-73.94224,,,1,,35,48,70
1761 E 16th St #2F,11229,3495,40.6069,-73.956696,,3,1,1200,59,66,105
1739 E 14th St #1L,11229,2199,40.607174,-73.95864,,1,1,549,59,92,105
1778 E 12th St #M1,11229,3400,40.606087,-73.96106,,3,2,1150,55,74,105
2279 E 19th St FLOOR 2,11229,3100,40.595245,-73.95185,,3,1,900,52,39,105
2154 E 23rd St #1A,11229,4800,40.59835,-73.94855,,3,3,2300,44,58,100
1762 E 19th St APT 1A,11229,4700,40.60707,-73.95439,,4,2,,55,56,105
3280-3310 Nostrand Ave #516,11229,2300,40.603848,-73.94288,,1,1,850,44,36,55
