address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
19839 32nd Ave APT B7,11358,1900,40.76958,-73.79056,,1,1,685,0,52,35
29-27 164th St #1,11358,3600,40.770214,-73.800575,,3,1,1200,16,18,20
3363 191st St,11358,3150,40.765114,-73.79075,,3,2,1200,24,51,40
191-10 37th Ave #2,11358,2200,40.76232,-73.79041,,2,1,900,28,26,40
196-54 44th Ave FLOOR 1,11358,3200,40.75707,-73.78359,,3,2,1200,7,60,35
45-05 162nd St #1,11358,4650,40.756172,-73.80443,,5,2,1320,11,57,65
194-08 37th Ave FLOOR 1,11358,2600,40.76258,-73.78791,,2,1,740,25,31,45
194-08 37th Ave FLOOR 2,11358,2600,40.76253,-73.78788,,2,1,740,25,29,45
16004 Sanford Ave APT 4C,11358,2200,40.760326,-73.805664,,1,1,800,12,87,85
4642 190th St FLOOR 2,11358,3000,40.751194,-73.78986,,2,1,750,1,29,30
