address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
7745 160th St,11366,1800,40.723076,-73.808014,,2,1,1444,20,45,60
78-40 164th St #4V,11366,1995,40.721897,-73.804634,,1,1,,19,52,45
73-16 197th St #1,11366,2995,40.735092,-73.7751,,2,1,1025,0,16,15
7731 166th St,11366,2800,40.723553,-73.80222,,3,1,1000,13,49,35
158-27 78th Ave #2B,11366,2800,40.72258,-73.80893,,3,1,1050,20,40,60
7340 197th St FLOOR 1,11366,3400,40.734253,-73.774506,,2,1,925,7,16,15
7651 174th St #L,11366,5700,40.725372,-73.79526,,5,2,2000,9,38,35
7711 160th St,11366,2500,40.72362,-73.80782,,2,1,840,20,40,60
75-20 167th St #2,11366,2200,40.726734,-73.80221,,1,1,750,9,21,45
7364 199th St FLOOR 2,11366,2500,40.734295,-73.77276,,2,1,924,0,9,5
