address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
2626 Harway Ave #3,11214,1999,40.590702,-73.98972,,1,1,600,36,23,42
2301 Benson Ave APT A31,11214,1795,40.598927,-73.99292,,1,1,,41,59,77
2235 83rd St APT 3,11214,1990,40.603233,-73.99088,,1,1,,43,47,77
2126 Benson Ave #14,11214,1995,40.600693,-73.99717,,1,1,,41,48,81
143 Bay 31st St,11214,3950,40.598484,-73.99579,,3,2,1250,41,53,85
180 Bay 26th St FLOOR 1,11214,3350,40.600204,-74.000824,,3,2,1200,40,76,88
8101 20th Ave #B6,11214,2650,40.607197,-73.99535,,3,1,1250,44,48,77
2581 W 15th St APT 3,11214,2900,40.58488,-73.98386,,3,2,1200,33,15,38
8814 Bay Pkwy APT 6C,11214,2250,40.597736,-73.998634,,1,1,750,37,55,85
1839 79th St #3,11214,3200,40.610638,-73.99711,,3,2,1200,47,55,77
