address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
548 Marcy Ave #1,10309,1650,40.543583,-74.20313,,1,1,500,0,16,20
26 El Camino Loop #1B,10309,1700,40.538307,-74.21312,,1,1,700,0,10,20
75 Santa Monica Ln #1,10309,1650,40.53667,-74.21219,,1,1,700,0,6,10
40 Terrace Ave #2,10309,1750,40.526493,-74.20908,,1,1,700,0,11,15
735 Maguire Ave #2,10309,3100,40.54487,-74.21192,,3,2,1225,0,13,35
6343 Amboy Rd FLOOR 3,10309,3499,40.52297,-74.21664,,3,1,1081,0,25,10
119 Sharrotts Rd #1F,10309,3100,40.537594,-74.22227,,3,2,1300,0,0,0
54 Poplar Ave #1,10309,3500,40.552715,-74.214355,,4,3,2200,0,17,15
70 Woodvale Loop #1,10309,6950,40.51615,-74.20554,,4,3,3500,0,0,0
286 Bradford Ave #2R,10309,3250,40.531002,-74.2021,,4,3,1800,0,5,5
