address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
1141 Jerome Ave APT 2Q,10452,1575,40.835724,-73.92372,,1,1,,57,66,105
990 Woodycrest Ave APT 2C,10452,1950,40.832245,-73.92796,,,1,,51,52,105
1316 Plimpton Ave #2A,10452,2762,40.840523,-73.92417,,1,1,400,48,66,100
1210 Ogden Ave FLOOR 2,10452,3464,40.83796,-73.92619,,3,1,1000,47,65,100
1305 Shakespeare Ave #1,10452,2125,40.84009,-73.92274,,1,1,450,51,72,100
67 W 169th St #302,10452,2000,40.839237,-73.92208,,1,1,500,55,71,100
173 W 161st St APT 3,10452,4200,40.83083,-73.93092,,3,1,950,55,29,110
1515 Grand Concourse APT 3D,10452,2100,40.841614,-73.9132,,1,1,,55,57,105
1515 Grand Concourse APT 3B,10452,2100,40.841602,-73.9132,,1,1,,55,57,105
901 Woodycrest Ave APT E4,10452,2550,40.830524,-73.92997,,2,1,,56,32,110
