address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
6188 Dry Harbor Rd APT 2B,11379,1900,40.72563,-73.87277,,1,1,,44,47,65
84-48 Penelope Ave #1,11379,2050,40.72223,-73.86823,,1,1,675,44,53,55
6337 75th Pl FLOOR 2,11379,3250,40.718204,-73.88014,,3,1,1100,43,20,40
6807 79th St FLOOR 2,11379,3250,40.71094,-73.87342,,3,1,1200,45,36,60
6333 75th St FLOOR 2,11379,2950,40.71741,-73.880844,,2,1,1035,44,20,35
5769 79th St APT 2,11379,3100,40.727272,-73.881935,,2,1,920,40,23,45
62-11 77th Pl #2,11379,2900,40.72169,-73.879654,,2,2,1000,35,22,15
8410 63rd Ave #1,11379,2900,40.72363,-73.870964,,2,1,1000,36,55,60
64-17 65th St #2,11379,2600,40.711987,-73.895645,,2,1,1000,67,43,105
8434 60th Rd,11379,3200,40.728455,-73.8752,,3,2,1100,45,29,60
