address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
154 Atlantic Ave APT 4F,10004,3580,40.690086,-73.994705,,2,1,,89,96,120
164 Mott St APT 2D,10004,2250,40.719685,-73.995964,,,1,,100,104,92
65 Atlantic Ave #4F,10004,2500,40.691555,-73.998184,,,1,,81,66,120
25 Broad St APT 14L,10004,4700,40.70592,-74.010765,,1,1,681,100,95,92
171 Mott St #20,10004,4695,40.719913,-73.996315,,2,1,,100,104,92
163 Warren St,10004,4850,40.68791,-73.996605,,1,1,,85,59,120
200 Chambers St APT 16F,10004,6800,40.7165,-74.0123,,1,2,754,95,114,89
211 Front St #2B,10004,7230,40.70717,-74.00254,,1,1,1000,97,103,92
92 William St #15K,10004,6995,40.70828,-74.00771,,3,2,,100,98,97
