address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
279 Menahan St #1,11237,3700,40.699497,-73.91611,,3,2,1000,77,102,110
336 Melrose St #1B,11237,3395,40.70331,-73.928055,,2,1,,81,106,105
1510 Gates Ave #502,11237,3750,40.698383,-73.91275,,2,1,,72,108,105
221 Knickerbocker Ave APT 3R,11237,3000,40.703312,-73.92576,,2,2,,72,108,105
318 Suydam St #3D,11237,4150,40.703197,-73.92231,,3,3,1489,65,91,105
999 Hart St #TOP,11237,4200,40.705532,-73.91953,,2,2,950,68,97,105
175 Knickerbocker Ave APT 3R,11237,3595,40.704086,-73.927124,,2,1,,79,107,105
775 Hart St APT 2B,11237,3400,40.70095,-73.92406,,3,1,,77,105,110
1038 Flushing Ave #3A,11237,3600,40.70419,-73.92945,,3,1,,73,93,105
757 Hart St #1F,11237,3300,40.70062,-73.924385,,2,2,,79,103,110
