address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
410 E 89th St APT 4B,10128,3495,40.778492,-73.947464,,1,1,,59,105,99
527 E 88th St APT 5D,10128,2895,40.77684,-73.94465,,1,1,,59,62,94
1728 2nd Ave APT 4B,10128,2595,40.78016,-73.94973,,,1,,65,104,99
318 E 89th St APT 1E,10128,3000,40.77923,-73.94922,,,1,,65,105,99
170 E 87th St #15G,10128,4875,40.77948,-73.954185,,1,1,642,73,93,99
40 E 94th St APT 18E,10128,4950,40.785522,-73.95496,,1,1,727,61,84,102
352 E 89th St #D,10128,4500,40.77883,-73.948616,,1,1,,64,107,99
1755 York Ave APT 7F,10128,4495,40.779697,-73.944595,,1,1,,59,68,94
206 E 95th St APT 5C,10128,4800,40.78409,-73.949394,,1,1,,65,104,99
301 E 87th St APT 3E,10128,6195,40.77853,-73.95082,,2,1,,69,104,99
