address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
2825 W 15th St APT 1,11224,3100,40.578457,-73.98264,,4,1,1100,44,62,100
3913 Lyme Ave FLOOR 2,11224,2850,40.57721,-74.00861,,2,1,1000,20,0,15
1601 Mermaid Ave #3R,11224,2650,40.576973,-73.983894,,2,1,600,45,82,100
2971 Shell Rd,11224,3600,40.5815,-73.97554,,2,2,1000,51,38,75
601 Surf Ave #K,11224,4200,40.575375,-73.974495,,3,2,1165,43,47,105
2882 W 15th St APT 2B,11224,4295,40.577152,-73.983055,,3,2,1795,49,85,100
2857 W 20th St FLOOR 2,11224,3000,40.577297,-73.98675,,3,2,990,39,53,100
2124 Mermaid Ave,11224,2500,40.575985,-73.98869,,1,1,3300,39,41,100
2885 W 15th St APT 4R,11224,2500,40.57723,-73.98227,,1,1,,51,89,100
2846 W 17th St FLOOR 3,11224,2499,40.57772,-73.985306,,2,1,,41,62,100
